Date,open,high,low,close,volume
2023-10-16,1218.75,1218.75,1218.75,1218.75,0
2023-10-17,1221.75,1221.75,1221.75,1221.75,0
2023-10-18,1225.75,1225.75,1225.75,1225.75,0
2023-10-19,1229.25,1229.25,1229.25,1229.25,0
2023-10-20,1231.5,1231.5,1231.5,1231.5,0
2023-10-23,1226.5,1226.5,1226.5,1226.5,0
2023-10-24,1228.0,1228.0,1228.0,1228.0,0
2023-10-25,1222.25,1222.25,1222.25,1222.25,0
2023-10-26,1224.0,1224.0,1224.0,1224.0,0
2023-10-27,1241.5,1241.5,1241.5,1241.5,0
2023-10-30,1233.75,1233.75,1233.75,1233.75,0
2023-10-31,1233.0,1233.0,1233.0,1233.0,0
2023-11-01,1234.5,1234.5,1234.5,1234.5,0
2023-11-02,1243.75,1243.75,1243.75,1243.75,0
2023-11-03,1257.5,1257.5,1257.5,1257.5,0
2023-11-06,1263.5,1263.5,1263.5,1263.5,0
2023-11-07,1254.5,1254.5,1254.5,1254.5,0
2023-11-08,1253.25,1253.25,1253.25,1253.25,0
2023-11-09,1245.25,1245.25,1245.25,1245.25,0
2023-11-10,1243.0,1243.0,1243.0,1243.0,0
2023-11-13,1265.0,1265.0,1265.0,1265.0,0
2023-11-14,1268.5,1268.5,1268.5,1268.5,0
2023-11-15,1273.5,1273.5,1273.5,1273.5,0
2023-11-16,1256.5,1256.5,1256.5,1256.5,0
2023-11-17,1246.25,1246.25,1246.25,1246.25,0
2023-11-20,1259.0,1259.0,1259.0,1259.0,0
2023-11-21,1270.75,1270.75,1270.75,1270.75,0
2023-11-22,1260.5,1260.5,1260.5,1260.5,0
2023-11-24,1243.0,1243.0,1243.0,1243.0,0
2023-11-27,1243.75,1243.75,1243.75,1243.75,0
2023-11-28,1255.25,1255.25,1255.25,1255.25,0
2023-11-29,1255.5,1255.5,1255.5,1255.5,0
2023-11-30,1257.25,1257.25,1257.25,1257.25,0
2023-12-01,1248.0,1248.0,1248.0,1248.0,0
2023-12-04,1241.25,1241.25,1241.25,1241.25,0
2023-12-05,1243.5,1243.5,1243.5,1243.5,0
2023-12-06,1237.0,1237.0,1237.0,1237.0,0
2023-12-07,1250.0,1250.0,1250.0,1250.0,0
2023-12-08,1246.5,1246.5,1246.5,1246.5,0
2023-12-11,1262.0,1262.0,1262.0,1262.0,0
2023-12-12,1256.0,1256.0,1256.0,1256.0,0
2023-12-13,1251.25,1251.25,1251.25,1251.25,0
2023-12-14,1257.0,1257.0,1257.0,1257.0,0
2023-12-15,1252.5,1252.5,1252.5,1252.5,0
2023-12-18,1260.0,1260.0,1260.0,1260.0,0
2023-12-19,1247.5,1247.5,1247.5,1247.5,0
2023-12-20,1241.25,1241.25,1241.25,1241.25,0
2023-12-21,1231.0,1231.0,1231.0,1231.0,0
2023-12-22,1235.75,1235.75,1235.75,1235.75,0
2023-12-26,1243.25,1243.25,1243.25,1243.25,0
2023-12-27,1241.75,1241.75,1241.75,1241.75,0
2023-12-28,1237.25,1237.25,1237.25,1237.25,0
2023-12-29,1224.25,1224.25,1224.25,1224.25,0
2024-01-02,1202.25,1202.25,1202.25,1202.25,0
2024-01-03,1204.0,1204.0,1204.0,1204.0,0
2024-01-04,1199.75,1199.75,1199.75,1199.75,0
2024-01-05,1188.0,1188.0,1188.0,1188.0,0
2024-01-08,1183.25,1183.25,1183.25,1183.25,0
2024-01-09,1189.5,1189.5,1189.5,1189.5,0
2024-01-10,1186.75,1186.75,1186.75,1186.75,0
2024-01-11,1187.75,1187.75,1187.75,1187.75,0
2024-01-12,1184.0,1184.0,1184.0,1184.0,0
2024-01-16,1182.75,1182.75,1182.75,1182.75,0
2024-01-17,1171.25,1171.25,1171.25,1171.25,0
2024-01-18,1170.25,1170.25,1170.25,1170.25,0
2024-01-19,1170.75,1170.75,1170.75,1170.75,0
2024-01-22,1178.25,1178.25,1178.25,1178.25,0
2024-01-23,1186.5,1186.5,1186.5,1186.5,0
2024-01-24,1187.5,1187.5,1187.5,1187.5,0
2024-01-25,1177.25,1177.25,1177.25,1177.25,0
2024-01-26,1167.0,1167.0,1167.0,1167.0,0
2024-01-29,1167.5,1167.5,1166.5,1166.5,1
2024-01-30,1180.5,1180.5,1180.5,1180.5,0
2024-01-31,1182.0,1182.0,1182.0,1182.0,0
2024-02-01,1169.0,1169.0,1169.0,1169.0,0
2024-02-02,1154.0,1154.0,1154.0,1154.0,0
2024-02-05,1158.0,1158.0,1158.0,1158.0,0
2024-02-06,1158.75,1158.75,1158.75,1158.75,0
2024-02-07,1154.25,1154.25,1154.25,1154.25,0
2024-02-08,1157.5,1157.5,1157.5,1157.5,0
2024-02-09,1147.5,1147.5,1147.5,1147.5,0
2024-02-12,1151.0,1151.0,1151.0,1151.0,0
2024-02-13,1147.5,1147.5,1147.5,1147.5,0
2024-02-14,1143.5,1143.5,1143.5,1143.5,0
2024-02-15,1136.0,1136.0,1134.0,1134.25,16
2024-02-16,1140.5,1140.5,1140.5,1140.5,0
2024-02-20,1150.5,1150.5,1150.5,1150.5,0
2024-02-21,1141.25,1141.25,1141.25,1141.25,0
2024-02-22,1135.5,1135.5,1132.5,1132.5,61
2024-02-23,1128.5,1128.5,1128.5,1128.5,0
2024-02-26,1127.0,1127.0,1127.0,1127.0,3
2024-02-27,1126.0,1126.0,1126.0,1126.0,0
2024-02-28,1128.75,1128.75,1128.75,1128.75,0
2024-02-29,1127.75,1127.75,1127.75,1127.75,0
2024-03-01,1133.5,1133.5,1133.5,1133.5,0
2024-03-04,1139.5,1139.5,1139.5,1139.5,0
2024-03-05,1138.75,1138.75,1138.75,1138.75,0
2024-03-06,1136.75,1136.75,1136.75,1136.75,0
2024-03-07,1144.25,1144.25,1144.25,1144.25,0
2024-03-08,1161.75,1161.75,1161.75,1161.75,0
2024-03-11,1162.25,1162.25,1162.25,1162.25,0
2024-03-12,1174.25,1174.25,1174.25,1174.25,0
2024-03-13,1174.75,1174.75,1174.75,1174.75,0
2024-03-14,1174.75,1174.75,1174.75,1174.75,2
2024-03-15,1177.75,1177.75,1177.75,1177.75,0
2024-03-18,1170.0,1170.0,1170.0,1170.0,0
2024-03-19,1171.75,1171.75,1171.75,1171.75,0
2024-03-20,1183.75,1183.75,1183.75,1183.75,7
2024-03-21,1179.75,1185.5,1179.75,1185.5,8
2024-03-22,1168.0,1169.0,1165.75,1169.0,21
2024-03-25,1174.25,1177.5,1174.25,1177.5,23
2024-03-26,1168.75,1168.75,1168.75,1168.75,22
2024-03-27,1161.0,1161.0,1161.0,1161.0,20
2024-03-28,1168.75,1170.25,1168.75,1170.25,11
2024-04-01,1168.75,1168.75,1168.75,1168.75,10
2024-04-02,1169.5,1169.5,1169.5,1169.5,0
2024-04-03,1176.5,1176.5,1176.5,1176.5,0
2024-04-04,1177.25,1177.25,1177.25,1177.25,0
2024-04-05,1173.75,1173.75,1173.75,1173.75,1
2024-04-08,1173.75,1173.75,1173.75,1173.75,0
2024-04-09,1169.0,1169.0,1169.0,1169.0,4
2024-04-10,1163.5,1163.5,1163.5,1163.5,0
2024-04-11,1160.0,1160.0,1159.0,1159.0,3
2024-04-12,1165.25,1165.25,1165.25,1165.25,2
2024-04-15,1161.0,1161.0,1161.0,1161.0,0
2024-04-16,1151.75,1153.5,1151.75,1153.5,2
2024-04-17,1155.0,1155.0,1155.0,1155.0,0
2024-04-18,1147.25,1147.25,1147.25,1147.25,0
2024-04-19,1156.0,1156.0,1156.0,1156.0,0
2024-04-22,1164.5,1164.5,1164.5,1164.5,0
2024-04-23,1165.25,1165.25,1165.25,1165.25,0
2024-04-24,1164.5,1164.5,1164.5,1164.5,24
2024-04-25,1167.75,1167.75,1167.75,1167.75,0
2024-04-26,1170.5,1170.5,1170.5,1170.5,0
2024-04-29,1172.5,1172.5,1172.5,1172.5,0
2024-04-30,1157.25,1157.25,1157.25,1157.25,6
2024-05-01,1162.75,1162.75,1162.75,1162.75,5
2024-05-02,1171.5,1176.75,1171.5,1176.75,4
2024-05-03,1184.75,1184.75,1184.75,1184.75,20
2024-05-06,1201.25,1201.25,1201.25,1201.25,3
2024-05-07,1199.0,1211.0,1199.0,1211.0,3
2024-05-08,1198.25,1199.5,1198.25,1199.5,18
2024-05-09,1191.0,1191.0,1191.0,1191.0,0
2024-05-10,1195.0,1195.0,1192.25,1194.5,65
2024-05-13,1201.5,1201.5,1201.5,1201.5,16
2024-05-14,1197.0,1197.0,1197.0,1197.0,43
2024-05-15,1193.75,1193.75,1193.75,1193.75,67
2024-05-16,1188.5,1190.25,1188.5,1190.25,29
2024-05-17,1189.5,1189.5,1189.5,1189.5,76
2024-05-20,1199.0,1199.0,1199.0,1199.0,0
2024-05-21,1198.25,1198.25,1198.25,1198.25,1
2024-05-22,1200.25,1200.25,1200.25,1200.25,42
2024-05-23,1196.75,1197.5,1195.25,1197.5,27
2024-05-24,1198.25,1200.0,1197.75,1197.75,20
2024-05-28,1195.0,1195.0,1195.0,1195.0,8
2024-05-29,1187.75,1187.75,1187.75,1187.75,37
2024-05-30,1180.25,1180.25,1180.25,1180.25,6
2024-05-31,1176.5,1176.5,1176.5,1176.5,1
2024-06-03,1161.5,1161.5,1161.5,1161.5,12
2024-06-04,1160.25,1160.25,1154.0,1155.75,6
2024-06-05,1151.5,1151.5,1151.5,1151.5,13
2024-06-06,1161.25,1161.25,1161.25,1161.25,74
2024-06-07,1155.0,1155.0,1155.0,1155.0,5
2024-06-10,1155.25,1155.25,1155.25,1155.25,46
2024-06-11,1152.5,1152.5,1150.5,1150.5,5
2024-06-12,1144.75,1144.75,1144.25,1144.25,102
2024-06-13,1148.5,1148.5,1148.5,1148.5,194
2024-06-14,1143.0,1143.0,1143.0,1143.0,13
2024-06-17,1127.25,1127.75,1127.25,1127.75,25
2024-06-18,1129.25,1129.25,1129.25,1129.25,50
2024-06-20,1130.0,1130.0,1122.0,1122.0,180
2024-06-21,1123.0,1123.0,1118.25,1119.25,194
2024-06-24,1116.0,1127.5,1116.0,1127.5,90
2024-06-25,1116.5,1116.5,1113.75,1113.75,106
2024-06-26,1108.75,1110.25,1108.75,1110.25,9
2024-06-27,1105.0,1114.0,1104.75,1107.75,21
2024-06-28,1107.75,1121.25,1106.75,1109.5,180
2024-07-01,1116.25,1121.75,1105.75,1120.25,159
2024-07-02,1128.0,1129.0,1117.25,1118.75,322
2024-07-03,1133.25,1133.25,1128.0,1130.0,132
2024-07-05,1127.25,1138.25,1124.5,1137.25,216
2024-07-08,1117.25,1118.75,1114.25,1118.75,186
2024-07-09,1108.25,1120.0,1104.25,1104.75,66
2024-07-10,1101.0,1105.25,1089.75,1090.0,133
2024-07-11,1093.75,1095.25,1086.25,1090.0,70
2024-07-12,1086.0,1096.75,1086.0,1092.25,309
2024-07-15,1074.25,1077.75,1068.25,1068.25,291
2024-07-16,1074.75,1076.0,1071.0,1071.0,72
2024-07-17,1066.5,1074.5,1065.0,1066.0,12
2024-07-18,1069.0,1069.75,1060.25,1067.5,73
2024-07-19,1065.5,1069.5,1057.5,1058.0,81
2024-07-22,1073.75,1085.5,1073.75,1085.25,168
2024-07-23,1088.75,1097.5,1088.75,1088.75,35
2024-07-24,1084.25,1091.25,1078.75,1080.25,173
2024-07-25,1097.0,1098.75,1096.5,1096.5,253
2024-07-26,1073.75,1073.75,1072.0,1073.75,107
2024-07-29,1077.5,1077.5,1052.75,1071.25,140
2024-07-30,1059.25,1060.5,1056.25,1058.5,240
2024-07-31,1060.75,1066.0,1058.25,1064.25,172
2024-08-01,1056.25,1056.25,1053.0,1055.25,91
2024-08-02,1068.25,1069.0,1067.0,1067.0,106
2024-08-05,1071.0,1074.75,1056.75,1072.75,282
2024-08-06,1056.25,1062.75,1056.25,1062.75,66
2024-08-07,1056.25,1064.5,1052.5,1054.5,46
2024-08-08,1057.5,1059.5,1048.75,1049.5,286
2024-08-09,1049.5,1054.75,1042.75,1044.25,71
2024-08-12,1044.25,1044.25,1023.75,1033.75,706
2024-08-13,1036.75,1036.75,1013.75,1015.25,376
2024-08-14,1016.0,1023.75,1009.0,1020.75,414
2024-08-15,1030.25,1030.5,1021.75,1021.75,96
2024-08-16,1014.25,1023.5,1011.0,1013.75,572
2024-08-19,1019.75,1028.25,1014.75,1027.5,262
2024-08-20,1028.0,1034.5,1022.5,1029.0,161
2024-08-21,1030.5,1034.5,1027.5,1030.5,398
2024-08-22,1027.0,1032.25,1013.0,1013.75,44
2024-08-23,1017.0,1024.25,1015.75,1023.75,57
2024-08-26,1015.25,1028.0,1013.75,1026.75,471
2024-08-27,1031.0,1035.0,1025.25,1031.75,272
2024-08-28,1026.25,1032.5,1023.0,1026.5,123
2024-08-29,1027.25,1037.0,1025.25,1037.0,258
2024-08-30,1041.25,1048.0,1035.5,1044.5,249
2024-09-03,1043.75,1064.5,1041.25,1054.75,210
2024-09-04,1052.5,1063.5,1044.25,1063.25,617
2024-09-05,1061.5,1065.5,1053.5,1065.0,98
2024-09-06,1063.75,1071.0,1048.25,1048.75,219
2024-09-09,1045.5,1062.5,1045.5,1060.75,312
2024-09-10,1060.25,1061.0,1043.75,1045.5,376
2024-09-11,1049.0,1055.25,1044.25,1050.0,465
2024-09-12,1050.75,1061.25,1046.75,1058.25,371
2024-09-13,1061.75,1066.0,1052.0,1055.75,792
2024-09-16,1056.25,1059.0,1049.25,1053.75,152
2024-09-17,1054.75,1058.75,1052.5,1055.25,112
2024-09-18,1059.25,1069.5,1056.5,1061.0,501
2024-09-19,1061.5,1065.5,1055.25,1059.75,409
2024-09-20,1061.25,1064.5,1050.5,1057.5,371
2024-09-23,1059.25,1080.25,1059.0,1079.25,1016
2024-09-24,1076.25,1094.0,1074.25,1083.25,769
2024-09-25,1084.0,1095.25,1074.5,1094.5,276
2024-09-26,1095.25,1104.0,1082.75,1083.75,739
2024-09-27,1080.0,1103.5,1077.5,1100.5,669
2024-09-30,1093.25,1105.25,1090.75,1096.0,678
2024-10-01,1091.25,1103.5,1085.5,1097.5,888
2024-10-02,1096.25,1103.25,1086.25,1097.5,1013
2024-10-03,1095.5,1097.0,1085.0,1089.0,664
2024-10-04,1089.25,1096.0,1080.0,1081.5,773
2024-10-07,1074.0,1083.0,1071.5,1080.75,255
2024-10-08,1081.5,1086.75,1061.5,1065.25,1104
2024-10-09,1064.5,1075.25,1061.75,1067.25,1110
2024-10-10,1069.75,1073.25,1062.0,1064.25,475
2024-10-11,1066.5,1071.25,1052.25,1053.5,1093
2024-10-14,1049.5,1055.0,1043.25,1044.0,1045
2024-10-15,1041.0,1041.0,1030.0,1033.25,894
2024-10-16,1034.5,1039.5,1025.0,1026.5,728
2024-10-17,1028.25,1030.0,1013.5,1028.25,828
2024-10-18,1029.75,1033.75,1016.75,1016.75,393
2024-10-21,1020.5,1025.25,1018.0,1022.25,398
2024-10-22,1022.25,1036.25,1019.25,1034.25,3040
2024-10-23,1038.25,1038.75,1029.25,1034.0,2445
2024-10-24,1033.25,1043.5,1030.75,1034.75,1063
2024-10-25,1033.25,1036.5,1026.0,1030.25,521
2024-10-28,1024.5,1028.0,1019.25,1020.0,1059
2024-10-29,1021.5,1024.5,1015.75,1016.25,1526
2024-10-30,1016.0,1028.5,1014.5,1026.75,1147
2024-10-31,1027.25,1034.0,1023.75,1032.25,1064
2024-11-01,1033.75,1043.25,1027.0,1031.25,1197
2024-11-04,1033.75,1042.5,1032.5,1034.5,719
2024-11-05,1034.25,1040.0,1032.5,1035.25,1067
2024-11-06,1034.5,1036.25,1015.75,1031.75,3276
2024-11-07,1033.75,1049.75,1029.5,1049.5,3331
2024-11-08,1049.0,1062.25,1041.0,1054.0,4659
2024-11-11,1054.0,1059.0,1041.25,1046.0,2083
2024-11-12,1047.25,1050.0,1027.25,1033.0,2324
2024-11-13,1032.5,1034.25,1021.25,1029.5,1617
2024-11-14,1028.25,1032.75,1012.25,1013.25,2318
2024-11-15,1014.0,1026.25,1013.0,1020.75,1273
2024-11-18,1022.75,1029.75,1011.0,1027.5,1338
2024-11-19,1027.25,1029.75,1017.75,1020.75,2393
2024-11-20,1021.5,1023.25,1009.25,1014.25,2382
2024-11-21,1014.75,1019.25,999.25,1002.0,3524
2024-11-22,1004.0,1006.75,997.25,1006.25,2008
2024-11-25,1010.0,1013.25,1004.5,1008.25,1378
2024-11-26,1005.75,1013.25,1004.25,1009.75,2022
2024-11-27,1011.5,1017.75,1009.0,1011.5,1152
2024-11-29,1016.75,1018.75,1003.5,1008.25,796
2024-12-02,1007.0,1008.5,997.0,1003.25,1783
2024-12-03,1003.0,1011.75,1001.25,1004.75,1736
2024-12-04,1004.75,1005.25,996.5,999.25,1087
2024-12-05,998.25,1006.5,997.0,1006.25,1275
2024-12-06,1004.75,1008.0,1000.75,1003.75,1535
2024-12-09,1001.5,1010.5,999.75,1002.75,1921
2024-12-10,1002.5,1010.25,1001.5,1007.5,2120
2024-12-11,1007.0,1013.5,1002.25,1011.25,2082
2024-12-12,1010.5,1012.25,1005.0,1010.5,1888
2024-12-13,1009.75,1009.75,1000.75,1002.25,1714
2024-12-16,1001.5,1005.25,994.0,994.25,1518
2024-12-17,994.75,997.25,979.0,984.25,1633
2024-12-18,983.0,983.25,958.75,959.75,2243
2024-12-19,960.25,973.5,955.0,971.5,2105
2024-12-20,971.75,985.75,969.0,983.25,1690
2024-12-23,983.5,987.75,978.0,982.0,1737
2024-12-24,981.0,989.5,979.5,989.5,643
2024-12-26,993.25,1006.0,989.25,1005.5,1607
2024-12-27,1004.25,1006.25,998.0,1000.25,1034
2024-12-30,1004.0,1012.5,998.75,1004.25,1978
2024-12-31,1004.0,1021.5,1003.25,1021.25,3055
2025-01-02,1020.25,1028.25,1017.25,1024.25,2780
2025-01-03,1023.5,1025.5,999.75,1004.0,2019
2025-01-06,1008.5,1018.75,1006.25,1008.75,2779
2025-01-07,1007.0,1008.25,996.0,1007.0,3060
2025-01-08,1005.5,1009.75,1001.25,1004.75,2674
2025-01-09,1004.25,1010.0,996.5,1009.5,1717
2025-01-10,1008.0,1037.0,1006.75,1028.5,6688
2025-01-13,1027.75,1050.75,1027.25,1050.75,4864
2025-01-14,1047.25,1057.25,1042.0,1048.0,6386
2025-01-15,1045.25,1052.0,1037.25,1039.25,3951
2025-01-16,1036.25,1036.25,1019.5,1020.0,5924
2025-01-17,1020.5,1031.0,1018.0,1027.25,6878
2025-01-21,1035.5,1052.0,1028.75,1051.5,6761
2025-01-22,1049.5,1058.75,1042.0,1047.25,5956
2025-01-23,1046.5,1063.5,1042.0,1054.75,5253
2025-01-24,1045.0,1052.25,1040.5,1050.25,6626
2025-01-27,1043.25,1045.25,1038.0,1043.5,5436
2025-01-28,1041.5,1051.5,1040.25,1046.75,4983
2025-01-29,1048.75,1064.75,1048.0,1062.5,4871
2025-01-30,1063.25,1063.75,1049.75,1051.5,3784
2025-01-31,1050.25,1058.25,1043.0,1049.5,6242
2025-02-03,1045.0,1063.25,1041.5,1062.5,7591
2025-02-04,1058.75,1075.25,1053.75,1074.0,7080
2025-02-05,1072.0,1075.5,1056.25,1062.75,6584
2025-02-06,1063.0,1072.0,1056.75,1066.0,5124
2025-02-07,1065.75,1068.0,1055.5,1057.5,4745
2025-02-10,1055.0,1059.5,1051.5,1057.25,2939
2025-02-11,1056.0,1065.0,1053.0,1054.75,3431
2025-02-12,1054.5,1057.0,1040.0,1042.25,6908
2025-02-13,1042.5,1045.75,1038.25,1043.5,4508
2025-02-14,1044.25,1055.5,1043.25,1050.0,3055
2025-02-18,1048.0,1056.75,1041.25,1055.0,3365
2025-02-19,1053.25,1061.25,1046.5,1049.0,4544
